title,runtime,genre(s),director(s),writer(s),actor(s),rating(s),number of rating(s)
Pan's Labyrinth,118,Drama; Fantasy; War,Guillermo del Toro,Guillermo del Toro,Ivana Baquero; Ariadna Gil; Sergi López,8.2,"445,393"
Sunrise: A Song of Two Humans,94,Comedy; Drama; Romance,F.W. Murnau,Carl Mayer; Hermann Sudermann,George O'Brien; Janet Gaynor; Margaret Livingston,8.4,"26,897"
Mr. Smith Goes to Washington,129,Drama,Frank Capra,Sidney Buchman; Lewis R. Foster,James Stewart; Jean Arthur; Claude Rains,8.3,"73,869"
Tonari no Totoro,86,Animation; Family; Fantasy,Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi; Noriko Hidaka; Chika Sakamoto,8.3,"158,889"
The Bridge on the River Kwai,161,Adventure; Drama; War,David Lean,Pierre Boulle; Carl Foreman,William Holden; Alec Guinness; Jack Hawkins,8.2,"141,715"
The Gold Rush,95,Adventure; Comedy; Drama,Charles Chaplin,Charles Chaplin,Charles Chaplin; Mack Swain; Tom Murray,8.3,"63,896"
Ikiru,143,Drama,Akira Kurosawa,Akira Kurosawa; Shinobu Hashimoto,Takashi Shimura; Nobuo Kaneko; Shin'ichi Himori,8.3,"39,756"
Ran,162,Action; Drama; War,Akira Kurosawa,Akira Kurosawa; Hideo Oguni,Tatsuya Nakadai; Akira Terao; Jinpachi Nezu,8.3,"73,641"
Det sjunde inseglet,96,Drama; Fantasy,Ingmar Bergman,Ingmar Bergman; Ingmar Bergman,Max von Sydow; Gunnar Björnstrand; Bengt Ekerot,8.2,"106,237"
Blade Runner,117,Sci-Fi; Thriller,Ridley Scott,Hampton Fancher; David Webb Peoples,Harrison Ford; Rutger Hauer; Sean Young,8.2,"441,257"
El secreto de sus ojos,129,Drama; Mystery; Thriller,Juan José Campanella,Eduardo Sacheri; Juan José Campanella,Ricardo Darín; Soledad Villamil; Pablo Rago,8.2,"121,969"
The Revenant,156,Adventure; Drama; Thriller,Alejandro González Iñárritu,Mark L. Smith; Alejandro González Iñárritu,Leonardo DiCaprio; Tom Hardy; Will Poulter,8.2,"212,001"
"Lock, Stock and Two Smoking Barrels",107,Comedy; Crime,Guy Ritchie,Guy Ritchie,Jason Flemyng; Dexter Fletcher; Nick Moran,8.2,"397,743"
Room,118,Drama,Lenny Abrahamson,Emma Donoghue; Emma Donoghue,Brie Larson; Jacob Tremblay; Sean Bridgers,8.3,"39,587"
The General,67,Action; Adventure; Comedy,Clyde Bruckman; Buster Keaton,Buster Keaton; Clyde Bruckman,Buster Keaton; Marion Mack; Glen Cavender,8.3,"50,500"
Smultronstället,91,Drama; Romance,Ingmar Bergman,Ingmar Bergman,Victor Sjöström; Bibi Andersson; Ingrid Thulin,8.3,"60,018"
The Elephant Man,124,Biography; Drama,David Lynch,Christopher De Vore; Eric Bergren,Anthony Hopkins; John Hurt; Anne Bancroft,8.2,"155,023"
Casino,178,Biography; Crime; Drama,Martin Scorsese,Nicholas Pileggi; Nicholas Pileggi,Robert De Niro; Sharon Stone; Joe Pesci,8.2,"316,971"
Hauru no ugoku shiro,119,Animation; Adventure; Family,Hayao Miyazaki,Hayao Miyazaki; Diana Wynne Jones,Chieko Baishô; Takuya Kimura; Tatsuya Gashûin,8.2,"200,123"
Warrior,140,Drama; Sport,Gavin O'Connor,Gavin O'Connor; Anthony Tambakis,Tom Hardy; Nick Nolte; Joel Edgerton,8.2,"314,550"
The Wolf of Wall Street,180,Biography; Comedy; Crime,Martin Scorsese,Terence Winter; Jordan Belfort,Leonardo DiCaprio; Jonah Hill; Margot Robbie,8.2,"712,824"
V for Vendetta,132,Action; Drama; Thriller,James McTeigue,Andy Wachowski; Lana Wachowski,Hugo Weaving; Natalie Portman; Rupert Graves,8.2,"752,335"
Oordeel te Neurenberg,186,Drama; History; War,Stanley Kramer,Abby Mann; Abby Mann,Spencer Tracy; Burt Lancaster; Richard Widmark,8.3,"41,433"
A Beautiful Mind,135,Biography; Drama,Ron Howard,Akiva Goldsman; Sylvia Nasar,Russell Crowe; Ed Harris; Jennifer Connelly,8.2,"574,953"
Gran Torino,116,Drama,Clint Eastwood,Nick Schenk; Dave Johannson,Clint Eastwood; Bee Vang; Christopher Carley,8.2,"537,145"
The Big Lebowski,117,Comedy; Crime,Joel Coen; Ethan Coen,Ethan Coen; Joel Coen,Jeff Bridges; John Goodman; Julianne Moore,8.2,"509,661"
Rebecca,130,Drama; Mystery; Thriller,Alfred Hitchcock,Daphne Du Maurier; Robert E. Sherwood,Laurence Olivier; Joan Fontaine; George Sanders,8.2,"83,378"
The Deer Hunter,183,Drama; War,Michael Cimino,Michael Cimino; Deric Washburn,Robert De Niro; Christopher Walken; John Cazale,8.2,"222,441"
Gone with the Wind,238,Drama; Romance; War,Victor Fleming; George Cukor,Margaret Mitchell; Sidney Howard,Clark Gable; Vivien Leigh; Thomas Mitchell,8.2,"205,317"
Cool Hand Luke,126,Crime; Drama,Stuart Rosenberg,Donn Pearce; Frank Pierson,Paul Newman; George Kennedy; Strother Martin,8.2,"114,866"
How to Train Your Dragon,98,Animation; Adventure; Family,Dean DeBlois; Chris Sanders,William Davies; Dean DeBlois,Jay Baruchel; Gerard Butler; Christopher Mintz-Plasse,8.2,"455,462"
Fargo,98,Crime; Drama; Thriller,Joel Coen; Ethan Coen,Ethan Coen; Joel Coen,William H. Macy; Frances McDormand; Steve Buscemi,8.2,"430,483"
Trainspotting,94,Drama,Danny Boyle,Irvine Welsh; John Hodge,Ewan McGregor; Ewen Bremner; Jonny Lee Miller,8.2,"447,788"
Incendies,139,Drama; Mystery; War,Denis Villeneuve,Denis Villeneuve; Wajdi Mouawad,Lubna Azabal; Mélissa Désormeaux-Poulin; Maxim Gaudette,8.2,"73,986"
Dial M for Murder,105,Crime; Thriller,Alfred Hitchcock,Frederick Knott; Frederick Knott,Ray Milland; Grace Kelly; Robert Cummings,8.2,"100,333"
The Sixth Sense,107,Drama; Mystery; Thriller,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis; Haley Joel Osment; Toni Collette,8.1,"673,026"
Into the Wild,148,Adventure; Biography; Drama,Sean Penn,Sean Penn; Jon Krakauer,Emile Hirsch; Vince Vaughn; Catherine Keener,8.2,"403,517"
Finding Nemo,100,Animation; Adventure; Comedy,Andrew Stanton; Lee Unkrich,Andrew Stanton; Andrew Stanton,Albert Brooks; Ellen DeGeneres; Alexander Gould,8.1,"645,455"
Het gebeurde op 'n avond,105,Comedy; Romance,Frank Capra,Robert Riskin; Samuel Hopkins Adams,Clark Gable; Claudette Colbert; Walter Connolly,8.2,"61,251"
The Thing,109,Horror; Sci-Fi,John Carpenter,Bill Lancaster; John W. Campbell Jr.,Kurt Russell; Wilford Brimley; Keith David,8.2,"244,344"
No Country for Old Men,122,Crime; Drama; Thriller,Ethan Coen; Joel Coen,Joel Coen; Ethan Coen,Tommy Lee Jones; Javier Bardem; Josh Brolin,8.1,"581,193"
Spotlight,128,Biography; Drama; History,Tom McCarthy,Josh Singer; Tom McCarthy,Mark Ruffalo; Michael Keaton; Rachel McAdams,8.2,"54,407"
Mad Max: Fury Road,120,Action; Adventure; Sci-Fi,George Miller,George Miller; Brendan McCarthy,Tom Hardy; Charlize Theron; Nicholas Hoult,8.2,"450,248"
Gone Girl,149,Crime; Drama; Mystery,David Fincher,Gillian Flynn; Gillian Flynn,Ben Affleck; Rosamund Pike; Neil Patrick Harris,8.1,"521,928"
Mary and Max,92,Animation; Comedy; Drama,Adam Elliot,Adam Elliot,Toni Collette; Philip Seymour Hoffman; Eric Bana,8.2,"112,128"
Kill Bill: Vol. 1,111,Action,Quentin Tarantino,Quentin Tarantino; Quentin Tarantino,Uma Thurman; David Carradine; Daryl Hannah,8.1,"698,357"
Rush,123,Action; Biography; Drama,Ron Howard,Peter Morgan,Daniel Brühl; Chris Hemsworth; Olivia Wilde,8.2,"291,191"
The Maltese Falcon,100,Crime; Drama; Film-Noir,John Huston,John Huston; Dashiell Hammett,Humphrey Bogart; Mary Astor; Gladys George,8.2,"107,877"
Life of Brian,94,Comedy,Terry Jones,Graham Chapman; John Cleese,Graham Chapman; John Cleese; Michael Palin,8.1,"259,412"
Hotel Rwanda,121,Drama; History; War,Terry George,Keir Pearson; Terry George,Don Cheadle; Sophie Okonedo; Joaquin Phoenix,8.1,"253,026"
Platoon,120,Drama; War,Oliver Stone,Oliver Stone,Charlie Sheen; Tom Berenger; Willem Dafoe,8.1,"278,967"
Le salaire de la peur,131,Adventure; Drama; Thriller,Henri-Georges Clouzot,Georges Arnaud; Henri-Georges Clouzot,Yves Montand; Charles Vanel; Peter van Eyck,8.2,"33,547"
There Will Be Blood,158,Drama,Paul Thomas Anderson,Paul Thomas Anderson; Upton Sinclair,Daniel Day-Lewis; Paul Dano; Ciarán Hinds,8.1,"355,048"
Butch Cassidy and the Sundance Kid,110,Biography; Crime; Drama,George Roy Hill,William Goldman,Paul Newman; Robert Redford; Katharine Ross,8.1,"144,496"
Network,121,Drama,Sidney Lumet,Paddy Chayefsky,Faye Dunaway; William Holden; Peter Finch,8.1,"97,897"
Les quatre cents coups,99,Crime; Drama,François Truffaut,François Truffaut; Marcel Moussy,Jean-Pierre Léaud; Albert Rémy; Claire Maurier,8.2,"66,413"
Stand by Me,89,Adventure; Drama,Rob Reiner,Stephen King; Raynold Gideon,Wil Wheaton; River Phoenix; Corey Feldman,8.1,"258,332"
Persona,85,Drama; Thriller,Ingmar Bergman,Ingmar Bergman,Bibi Andersson; Liv Ullmann; Margaretha Krook,8.2,"57,469"
12 Years a Slave,134,Biography; Drama; History,Steve McQueen,John Ridley; Solomon Northup,Chiwetel Ejiofor; Michael Kenneth Williams; Michael Fassbender,8.1,"405,397"
The Princess Bride,98,Adventure; Comedy; Family,Rob Reiner,William Goldman; William Goldman,Cary Elwes; Mandy Patinkin; Robin Wright,8.1,"280,251"
The Grand Budapest Hotel,99,Adventure; Comedy; Drama,Wes Anderson,Stefan Zweig; Wes Anderson,Ralph Fiennes; F. Murray Abraham; Mathieu Amalric,8.1,"432,935"
Touch of Evil,95,Crime; Film-Noir; Thriller,Orson Welles,Orson Welles; Whit Masterson,Charlton Heston; Orson Welles; Janet Leigh,8.1,"69,536"
In the Name of the Father,133,Biography; Drama; History,Jim Sheridan,Gerry Conlon; Terry George,Daniel Day-Lewis; Pete Postlethwaite; Alison Crosbie,8.1,"103,205"
Amores perros,154,Drama; Thriller,Alejandro González Iñárritu,Guillermo Arriaga,Emilio Echevarría; Gael García Bernal; Goya Toledo,8.1,"166,174"
Shutter Island,138,Mystery; Thriller,Martin Scorsese,Laeta Kalogridis; Dennis Lehane,Leonardo DiCaprio; Emily Mortimer; Mark Ruffalo,8.1,"735,841"
Million Dollar Baby,132,Drama; Sport,Clint Eastwood,Paul Haggis; F.X. Toole,Hilary Swank; Clint Eastwood; Morgan Freeman,8.1,"458,532"
Annie Hall,93,Comedy; Romance,Woody Allen,Woody Allen; Marshall Brickman,Woody Allen; Diane Keaton; Tony Roberts,8.1,"182,695"
Ben Hur,212,Adventure; Drama; War,William Wyler,Lew Wallace; Karl Tunberg,Charlton Heston; Jack Hawkins; Stephen Boyd,8.1,"151,826"
The Grapes of Wrath,129,Drama,John Ford,Nunnally Johnson; John Steinbeck,Henry Fonda; Jane Darwell; John Carradine,8.1,"59,820"
Relatos salvajes,122,Comedy; Drama; Thriller,Damián Szifrón,Damián Szifrón,Darío Grandinetti; María Marull; Mónica Villa,8.1,"73,101"
Hachi: A Dog's Tale,93,Drama; Family,Lasse Hallström,Stephen P. Lindsey; Kaneto Shindô,Richard Gere; Joan Allen; Cary-Hiroyuki Tagawa,8.2,"141,045"
Kaze no tani no Naushika,117,Animation; Adventure; Fantasy,Hayao Miyazaki,Hayao Miyazaki; Hayao Miyazaki,Sumi Shimamoto; Mahito Tsujimura; Hisako Kyôda,8.1,"89,911"
Stalker,163,Drama; Sci-Fi,Andrei Tarkovsky,Arkadiy Strugatskiy; Boris Strugatskiy,Alisa Freyndlikh; Aleksandr Kaydanovskiy; Anatoliy Solonitsyn,8.2,"64,359"
Demonen,116,Drama; Horror; Thriller,Henri-Georges Clouzot,Pierre Boileau; Thomas Narcejac,Simone Signoret; Véra Clouzot; Paul Meurisse,8.1,"39,897"
Jurassic Park,127,Adventure; Sci-Fi; Thriller,Steven Spielberg,Michael Crichton; Michael Crichton,Sam Neill; Laura Dern; Jeff Goldblum,8.1,"572,736"
Gandhi,191,Biography; Drama; History,Richard Attenborough,John Briley,Ben Kingsley; John Gielgud; Candice Bergen,8.1,"163,231"
The Martian,144,Adventure; Drama; Sci-Fi,Ridley Scott,Drew Goddard; Andy Weir,Matt Damon; Jessica Chastain; Kristen Wiig,8.1,"333,455"
8½,138,Drama; Fantasy,Federico Fellini,Federico Fellini; Ennio Flaiano,Marcello Mastroianni; Anouk Aimée; Claudia Cardinale,8.1,"74,780"
The Bourne Ultimatum,115,Action; Thriller,Paul Greengrass,Tony Gilroy; Scott Z. Burns,Matt Damon; Edgar Ramirez; Joan Allen,8.1,"464,362"
Donnie Darko,113,Drama; Sci-Fi; Thriller,Richard Kelly,Richard Kelly,Jake Gyllenhaal; Jena Malone; Mary McDonnell,8.1,"555,078"
The Wizard of Oz,102,Adventure; Family; Fantasy,Victor Fleming; George Cukor,Noel Langley; Florence Ryerson,Judy Garland; Frank Morgan; Ray Bolger,8.1,"277,844"
Before Sunrise,105,Drama; Romance,Richard Linklater,Richard Linklater; Kim Krizan,Ethan Hawke; Julie Delpy; Andrea Eckert,8.1,"172,255"
De beste jaren van ons leven,172,Drama; Romance; War,William Wyler,Robert E. Sherwood; MacKinlay Kantor,Fredric March; Dana Andrews; Myrna Loy,8.2,"38,445"
Sin City,124,Crime; Thriller,Frank Miller; Robert Rodriguez,Frank Miller,Mickey Rourke; Clive Owen; Bruce Willis,8.1,"632,372"
Strangers on a Train,101,Crime; Film-Noir; Thriller,Alfred Hitchcock,Raymond Chandler; Czenzi Ormonde,Farley Granger; Robert Walker; Ruth Roman,8.1,"91,173"
The Terminator,107,Action; Sci-Fi,James Cameron,James Cameron; Gale Anne Hurd,Arnold Schwarzenegger; Linda Hamilton; Michael Biehn,8.1,"569,315"
Twelve Monkeys,129,Mystery; Sci-Fi; Thriller,Terry Gilliam,Chris Marker; David Webb Peoples,Bruce Willis; Madeleine Stowe; Brad Pitt,8.1,"442,484"
Rocky,120,Drama; Sport,John G. Avildsen,Sylvester Stallone,Sylvester Stallone; Talia Shire; Burt Young,8.1,"351,179"
The Truman Show,103,Drama,Peter Weir,Andrew Niccol,Jim Carrey; Ed Harris; Laura Linney,8.1,"630,496"
Salinui chueok,129,Crime; Drama; Mystery,Joon Ho Bong,Joon Ho Bong; Kwang-rim Kim,Kang-ho Song; Sang-kyung Kim; Roe-ha Kim,8.1,"61,257"
Groundhog Day,101,Comedy; Fantasy; Romance,Harold Ramis,Danny Rubin; Harold Ramis,Bill Murray; Andie MacDowell; Chris Elliott,8.1,"413,950"
"Monsters, Inc.",92,Animation; Adventure; Comedy,Pete Docter; David Silverman,Pete Docter; Jill Culton,Billy Crystal; John Goodman; Mary Gibbs,8.1,"548,079"
Harry Potter and the Deathly Hallows: Part 2,130,Adventure; Drama; Fantasy,David Yates,Steve Kloves; J.K. Rowling,Daniel Radcliffe; Emma Watson; Rupert Grint,8.1,"509,568"
Jaws,124,Adventure; Thriller,Steven Spielberg,Peter Benchley; Carl Gottlieb,Roy Scheider; Robert Shaw; Richard Dreyfuss,8.1,"391,314"
Mou gaan dou,101,Crime; Mystery; Thriller,Wai-Keung Lau; Alan Mak,Alan Mak; Felix Chong,Andy Lau; Tony Chiu Wai Leung; Anthony Chau-Sang Wong,8.1,"87,750"
De slag om Algiers,121,Drama; War,Gillo Pontecorvo,Franco Solinas; Franco Solinas,Brahim Hadjadj; Jean Martin; Yacef Saadi,8.1,"35,070"
Barry Lyndon,184,Adventure; Drama; Romance,Stanley Kubrick,Stanley Kubrick; William Makepeace Thackeray,Ryan O'Neal; Marisa Berenson; Patrick Magee,8.1,"96,195"
The Avengers,143,Action; Sci-Fi; Thriller,Joss Whedon,Joss Whedon; Zak Penn,Robert Downey Jr.; Chris Evans; Scarlett Johansson,8.1,"930,603"
La haine,98,Crime; Drama,Mathieu Kassovitz,Mathieu Kassovitz,Vincent Cassel; Hubert Koundé; Saïd Taghmaoui,8.1,"97,887"
Dog Day Afternoon,125,Crime; Drama,Sidney Lumet,Frank Pierson; P.F. Kluge,Al Pacino; John Cazale; Penelope Allen,8.1,"174,499"
De grote illusie,114,Drama; War,Jean Renoir,Charles Spaak; Jean Renoir,Jean Gabin; Dita Parlo; Pierre Fresnay,8.2,"25,086"
Kumonosu-jô,110,Drama,Akira Kurosawa,Hideo Oguni; Shinobu Hashimoto,Toshirô Mifune; Minoru Chiaki; Isuzu Yamada,8.1,"29,261"
Fanny och Alexander,188,Drama,Ingmar Bergman,Ingmar Bergman,Bertil Guve; Pernilla Allwin; Kristina Adolphson,8.1,"41,085"
Yip Man,106,Action; Biography; Drama,Wilson Yip,Edmond Wong; Chan Tai-Li,Donnie Yen; Simon Yam; Siu-Wong Fan,8.1,"154,018"
Prisoners,153,Crime; Drama; Mystery,Denis Villeneuve,Aaron Guzikowski,Hugh Jackman; Jake Gyllenhaal; Viola Davis,8.1,"353,748"
The Imitation Game,114,Biography; Drama; Thriller,Morten Tyldum,Graham Moore; Andrew Hodges,Benedict Cumberbatch; Keira Knightley; Matthew Goode,8.1,"411,614"
The King's Speech,118,Biography; Drama; History,Tom Hooper,David Seidler,Colin Firth; Geoffrey Rush; Helena Bonham Carter,8.0,"474,894"
Guardians of the Galaxy,121,Action; Adventure; Sci-Fi,James Gunn,James Gunn; Nicole Perlman,Chris Pratt; Vin Diesel; Bradley Cooper,8.1,"610,667"
Pirates of the Caribbean: The Curse of the Black Pearl,143,Action; Adventure; Fantasy,Gore Verbinski,Ted Elliott; Terry Rossio,Johnny Depp; Geoffrey Rush; Orlando Bloom,8.1,"770,416"
Klokslag 12,85,Western,Fred Zinnemann,Carl Foreman; John W. Cunningham,Gary Cooper; Grace Kelly; Thomas Mitchell,8.1,"76,610"
Per un pugno di dollari,99,Action; Drama; Western,Sergio Leone,Adriano Bolzoni; Víctor Andrés Catena,Clint Eastwood; Gian Maria Volontè; Marianne Koch,8.0,"137,135"
The Help,not found,Drama,Tate Taylor,Tate Taylor; Kathryn Stockett,Emma Stone; Viola Davis; Octavia Spencer,8.1,"303,133"
Roman Holiday,118,Comedy; Romance,William Wyler,Ian McLellan Hunter; John Dighton,Gregory Peck; Audrey Hepburn; Eddie Albert,8.1,"94,757"
Tenkû no shiro Rapyuta,125,Animation; Adventure; Family,Hayao Miyazaki,Hayao Miyazaki,Anna Paquin; James Van Der Beek; Cloris Leachman,8.1,"92,606"
Notorious,101,Drama; Film-Noir; Romance,Alfred Hitchcock,Ben Hecht,Cary Grant; Ingrid Bergman; Claude Rains,8.1,"70,897"
Wie is bang voor Virginia Woolf?,131,Drama,Mike Nichols,Ernest Lehman,Elizabeth Taylor; Richard Burton; George Segal,8.1,"53,834"
Catch Me If You Can,141,Biography; Crime; Drama,Steven Spielberg,Jeff Nathanson; Frank Abagnale Jr.,Leonardo DiCaprio; Tom Hanks; Christopher Walken,8.0,"479,319"
Anatomy of a Murder,160,Crime; Drama; Mystery,Otto Preminger,Wendell Mayes; John D. Voelker,James Stewart; Lee Remick; Ben Gazzara,8.1,"44,589"
Belle en het Beest,84,Animation; Family; Fantasy,Gary Trousdale; Kirk Wise,Linda Woolverton; Brenda Chapman,Paige O'Hara; Robby Benson; Jesse Corti,8.0,"290,729"
Bom yeoreum gaeul gyeoul geurigo bom,103,Drama,Ki-duk Kim,Ki-duk Kim,Ki-duk Kim; Yeong-su Oh; Jong-ho Kim,8.1,"60,085"
The Night of the Hunter,92,Crime; Drama; Film-Noir,Charles Laughton; Robert Mitchum,Davis Grubb; James Agee,Robert Mitchum; Shelley Winters; Lillian Gish,8.1,"62,365"
Before Sunset,80,Drama; Romance,Richard Linklater,Richard Linklater; Julie Delpy,Ethan Hawke; Julie Delpy; Vernon Dobtcheff,8.0,"159,910"
Underground,170,Comedy; Drama; War,Emir Kusturica,Dusan Kovacevic; Emir Kusturica,Predrag Manojlovic; Lazar Ristovski; Mirjana Jokovic,8.1,"42,693"
La dolce vita,174,Comedy; Drama,Federico Fellini,Federico Fellini; Ennio Flaiano,Marcello Mastroianni; Anita Ekberg; Anouk Aimée,8.1,"47,029"
Akira,124,Animation; Action; Sci-Fi,Katsuhiro Ôtomo,Katsuhiro Ôtomo; Izô Hashimoto,Nozomu Sasaki; Mami Koyama; Mitsuo Iwata,8.1,"99,456"
Young Frankenstein,106,Comedy,Mel Brooks,Gene Wilder; Mel Brooks,Gene Wilder; Madeline Kahn; Marty Feldman,8.1,"109,284"
